grouping,alphabet,serial,subSerial,gridPosition,displayId,partOfSpeech,color,folderDisplayId,folderName,text,imageId,image,imageName
50,A,394,1,,A-394-1,Noun,#ffae37,2.4,Condiments,peanut butter,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/peanut%20butter.svg,#N/A,peanutbutter.svg
50,A,457,1,,A-457-1,Noun,#ffae37,9.3,Supplies,pencil,U+270F,✏,
50,A,457,2,,A-457-2,Noun,#ffae37,9.3,Supplies,pencils,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getssssssdopq.svg
50,A,1042,1,,A-1042-1,Noun,#ffae37,15.2,Private,penis,https://drive.google.com/file/d/12KYNN-iehnlWyPd9njlY1ArNnfihg61n/view?usp=sharing,#N/A,penis.svg
50,A,442,4,,A-442-4,Noun,#ffae37,5.7,Common,pet,https://d18vdu4p71yql0.cloudfront.net/libraries/twemoji/1f436.svg,#N/A,Pets.svg
50,A,1144,1,,A-1144-1,Noun,#ffae37,9.7,Musical,piano,https://d18vdu4p71yql0.cloudfront.net/libraries/twemoji/1f3b9.svg,#N/A,f3271lsqasssss13ssscse.svg
50,A,1144,2,,A-1144-2,Noun,#ffae37,9.7,Musical,pianos,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getssdqz.svg
50,A,769,1,,A-769-1,Noun,#ffae37,5.5,Farm,pig,U+1F416,🐖,
50,A,769,3,,A-769-3,Noun,#ffae37,5.5,Farm,pig's,https://drive.google.com/file/d/1BOzdigxem0AFjH_FMBbwLns0rgrS6RAZ/view?usp=sharing,#N/A,spppppp.svg
50,A,769,4,,A-769-4,Noun,#ffae37,5.5,Farm,piglet,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/piglet.svg,#N/A,piglet.svg
50,A,769,6,,A-769-6,Noun,#ffae37,5.5,Farm,piglet's,https://drive.google.com/file/d/1BOzdigxem0AFjH_FMBbwLns0rgrS6RAZ/view?usp=sharing,#N/A,sq.svg
50,A,769,5,,A-769-5,Noun,#ffae37,5.5,Farm,piglets,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getssssssdpqw.svg
50,A,769,2,,A-769-2,Noun,#ffae37,5.5,Farm,pigs,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getsssssdpqw.svg
50,A,402,1,,A-402-1,Noun,#ffae37,2.5,Meal,pizza,U+1F355,🍕,
50,A,402,2,,A-402-2,Noun,#ffae37,2.5,Meal,pizzas,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getaaadpq.svg
50,A,283,1,,A-283-1,noun,#ffae37,8.5,Common,place,,,
50,A,283,2,,A-283-2,noun,#ffae37,8.5,Common,places,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,Location.svg
50,A,865,1,,A-865-1,Noun,#ffae37,2.6,Things,plate,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Plate_445_g.svg,#N/A,Plates.svg
50,A,865,2,,A-865-2,Noun,#ffae37,2.6,Things,plates,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getsssssssdopzw.svg
50,A,35,1,34,A-35-1,verb,#20d35e,18.4,M-P,play,https://drive.google.com/file/d/1dd5ulzlTekcgjqoXgVnX1ZlnuukvjS6U/view?usp=sharing,#8c612d,play25.svg
